date,timestamp,station,value
2025-06-08,2025-06-08 11:59:09,GB_SamplingPoint_112,0.05364740639925
2025-06-08,2025-06-08 11:59:09,GB_SamplingPoint_61573,
2025-06-08,2025-06-08 11:59:09,SPO-CH0010A_00010_500,
2025-06-08,2025-06-08 11:59:09,SP_08019057_6_48,
2025-06-08,2025-06-08 13:34:09,SPO-PT03082_00010_100,0.0326178260147571
2025-06-08,2025-06-08 13:34:09,SPO-PT03083_00010_100,0.0283714514225721
2025-06-08,2025-06-08 13:34:09,SP_28079035_6_48,0.0335167497396469
2025-06-08,2025-06-08 13:34:09,SP_30016020_6_48,0.031808815896511
2025-06-08,2025-06-08 13:34:09,SPO-PT03071_00010_100,0.0297215804457664
2025-06-08,2025-06-08 13:34:09,SP_28092005_6_48,0.0391556955873966
2025-06-08,2025-06-08 13:39:09,GB_SamplingPoint_107,
2025-06-08,2025-06-08 13:39:09,GB_SamplingPoint_205,
2025-06-08,2025-06-08 13:39:09,SPO-FR04055_10,0.0573657602071762
2025-06-08,2025-06-08 13:39:09,GB_SamplingPoint_61573,0.0698935240507125
2025-06-08,2025-06-08 13:39:09,SP_08019057_6_48,
2025-06-08,2025-06-08 13:39:09,SP_08019054_6_48,
2025-06-08,2025-06-08 13:39:09,GB_SamplingPoint_127,
2025-06-08,2025-06-08 13:39:09,SP_08301004_6_48,
2025-06-08,2025-06-08 13:39:09,SPO-LU0101A_00010_100,0.0394688956439495
2025-06-08,2025-06-08 13:39:09,SP_08089005_6_48,
2025-06-08,2025-06-08 13:39:09,SP_28079035_6_48,0.0335167497396469
2025-06-08,2025-06-08 13:39:09,SP_15030027_6_48,0.03912990167737
2025-06-08,2025-06-08 13:39:09,SP_28092005_6_48,0.0391556955873966
2025-06-08,2025-06-08 13:39:09,GB_SamplingPoint_112,
2025-06-08,2025-06-08 13:39:09,SP_08169009_6_48,
2025-06-09,2025-06-09 00:09:09,SPO-EE0018A_00010_100,
2025-06-09,2025-06-09 01:49:09,GB_SamplingPoint_112,
2025-06-09,2025-06-09 01:49:09,SPO-DK0045A_00010_100,
2025-06-09,2025-06-09 01:49:09,GB_SamplingPoint_127,
2025-06-09,2025-06-09 01:49:09,SPO-EE0018A_00010_100,
2025-06-09,2025-06-09 01:49:09,GB_SamplingPoint_61573,
2025-06-09,2025-06-09 01:54:09,SPO-FR04055_10,
2025-06-09,2025-06-09 01:54:09,GB_SamplingPoint_127,
2025-06-09,2025-06-09 01:54:09,GB_SamplingPoint_112,
2025-06-09,2025-06-09 01:54:09,SPO-LU0101A_00010_100,
2025-06-09,2025-06-09 01:54:09,GB_SamplingPoint_107,
2025-06-09,2025-06-09 01:54:09,GB_SamplingPoint_205,
2025-06-09,2025-06-09 03:34:09,GB_SamplingPoint_127,
